index	token	frequency
260	kids	63
261	same	63
262	sometimes	62
263	special	62
264	fascinating	61
265	keep	61
266	last	60
267	together	60
268	why	60
269	anyone	59
270	dark	59
271	piece	59
272	women	59
273	going	58
274	point	58
275	style	58
276	actually	57
277	away	57
278	him	57
279	matter	57
280	moving	57
281	need	57
282	pretty	57
283	comic	56
284	direction	56
285	history	56
286	know	56
287	manages	56
288	offers	56
289	say	56
290	since	56
291	sweet	56
292	anything	55
293	dull	55
294	experience	55
295	fans	55
296	show	55
297	simply	55
298	part	54
299	screenplay	54
300	short	54
301	visual	54
302	entertainment	53
303	flick	53
304	whole	53
305	art	52
306	clever	52
307	everything	52
308	filmmakers	52
309	plays	52
310	care	51
311	cinematic	51
312	goes	51
313	mr.	51
314	premise	51
315	true	51
316	war	51
317	always	50
318	instead	50
319	probably	50
320	around	49
321	genre	49
322	idea	49
323	laughs	49
324	series	49
325	silly	49
326	star	49
327	children	48
328	familiar	48
329	place	48
330	predictable	48
331	'd	47
332	done	47
333	engaging	47
334	high	47
335	narrative	47
336	nearly	47
337	title	47
338	under	47
339	whose	47
340	certainly	46
341	enjoyable	46
342	especially	46
343	three	46
344	trying	46
345	worst	46
346	becomes	45
347	each	45
348	exercise	45
349	feature	45
350	portrait	45
351	strong	45
352	beautiful	44
353	beautifully	44
354	home	44
355	smart	44
356	study	44
357	surprisingly	44
358	energy	43
359	set	43
360	wo	43
361	amusing	42
362	charm	42
363	day	42
364	easy	42
365	effort	42
366	ending	42
367	lacks	42
368	lives	42
369	powerful	42
370	video	42
371	although	41
372	charming	41
373	else	41
374	filmmaking	41
375	looking	41
376	men	41
377	mostly	41
378	now	41
379	version	41
380	debut	40
381	dramatic	40
382	face	40
383	feeling	40
384	french	40
385	half	40
386	john	40
387	looks	40
388	problem	40
389	sure	40
390	turns	40
391	'm	39
392	effects	39
393	either	39
394	horror	39
395	likely	39
396	obvious	39
397	power	39
398	theater	39
399	everyone	38
400	hour	38
401	neither	38
402	quirky	38
403	rare	38
404	romance	38
405	tone	38
406	wit	38
407	become	37
408	believe	37
409	boring	37
410	culture	37
411	de	37
412	death	37
413	directed	37
414	fails	37
415	hours	37
416	interest	37
417	leave	37
418	melodrama	37
419	modern	37
420	next	37
421	proves	37
422	reason	37
423	solid	37
424	storytelling	37
425	summer	37
426	book	36
427	camera	36
428	classic	36
429	completely	36
430	enjoy	36
431	fact	36
432	filmmaker	36
433	intelligent	36
434	lack	36
435	level	36
436	light	36
437	message	36
438	mind	36
439	shows	36
440	sort	36
441	whether	36
442	beyond	35
443	deeply	35
444	himself	35
445	left	35
446	mess	35
447	opera	35
448	put	35
449	serious	35
450	spirit	35
451	woman	35
452	along	34
453	already	34
454	fine	34
455	fresh	34
456	line	34
457	shot	34
458	small	34
459	social	34
460	stories	34
461	stuff	34
462	tries	34
463	truly	34
464	turn	34
465	got	33
466	ideas	33
467	intelligence	33
468	must	33
469	play	33
470	political	33
471	remains	33
472	ride	33
473	sad	33
474	suspense	33
475	actor	32
476	against	32
477	animation	32
478	audiences	32
479	black	32
480	contrived	32
481	easily	32
482	hilarious	32
483	images	32
484	nor	32
485	particularly	32
486	past	32
487	project	32
488	recent	32
489	rich	32
490	seeing	32
491	sex	32
492	tv	32
493	viewers	32
494	ways	32
495	above	31
496	adventure	31
497	case	31
498	cold	31
499	complex	31
500	delivers	31
501	flat	31
502	formula	31
503	gags	31
504	girl	31
505	intriguing	31
506	jokes	31
507	satisfying	31
508	terrific	31
509	attempt	30
510	boy	30
511	during	30
512	earnest	30
513	ends	30
514	found	30
515	impossible	30
516	live	30
517	mystery	30
518	passion	30
519	perfect	30
520	personal	30
521	pleasure	30
522	production	30
523	scene	30
524	sequel	30
525	slow	30
526	thought	30
527	touching	30
528	bland	29
529	entirely	29
530	falls	29
531	finally	29
532	given	29
533	head	29
534	honest	29
535	memorable	29
536	michael	29
537	otherwise	29
538	overall	29
539	reality	29
540	role	29
541	satire	29
542	visually	29
543	coming-of-age	28
544	crime	28
545	different	28
546	difficult	28
547	dumb	28
548	elements	28
549	guys	28
550	laugh	28
551	leaves	28
552	lost	28
553	mood	28
554	none	28
555	pretentious	28
556	rarely	28
557	remarkable	28
558	told	28
559	violence	28
560	wild	28
561	writing	28
562	brilliant	27
563	call	27
564	cliches	27
565	days	27
566	getting	27
567	imagine	27
568	occasionally	27
569	running	27
570	side	27
571	soap	27
572	talent	27
573	tired	27
574	tragedy	27
575	viewer	27
576	wonderful	27
577	written	27
578	wrong	27
579	act	26
580	barely	26
581	close	26
582	emotionally	26
583	events	26
584	fairly	26
585	help	26
586	ii	26
587	imagination	26
588	job	26
589	moment	26
590	perfectly	26
591	plenty	26
592	sequences	26
593	starts	26
594	strange	26
595	surprising	26
596	teen	26
597	themselves	26
598	thoroughly	26
599	thoughtful	26
600	concept	25
601	david	25
602	disney	25
603	engrossing	25
604	eyes	25
605	final	25
606	game	25
607	gone	25
608	hero	25
609	journey	25
610	parents	25
611	psychological	25
612	rock	25
613	run	25
614	tell	25
615	try	25
616	writer-director	25
617	able	24
618	air	24
619	ambitious	24
620	appeal	24
621	attention	24
622	bring	24
623	captures	24
624	deep	24
625	emotions	24
626	exactly	24
627	excellent	24
628	execution	24
629	fantasy	24
630	four	24
631	guy	24
632	having	24
633	inside	24
634	keeps	24
635	nature	24
636	needs	24
637	period	24
638	possible	24
639	quiet	24
640	simple	24
641	straight	24
642	suffers	24
643	taste	24
644	thin	24
645	usual	24
646	vision	24
647	warm	24
648	acted	23
649	adaptation	23
650	adults	23
651	appealing	23
652	artist	23
653	awful	23
654	certain	23
655	change	23
656	city	23
657	comedies	23
658	cool	23
659	flawed	23
660	gorgeous	23
661	grant	23
662	historical	23
663	latest	23
664	merely	23
665	moral	23
666	odd	23
667	somewhat	23
668	spy	23
669	start	23
670	tedious	23
671	unsettling	23
672	until	23
673	uses	23
674	age	22
675	approach	22
676	beauty	22
677	behind	22
678	creative	22
679	cut	22
680	date	22
681	dead	22
682	definitely	22
683	delightful	22
684	entire	22
685	epic	22
686	expect	22
687	fire	22
688	flaws	22
689	gentle	22
690	highly	22
691	knows	22
692	lead	22
693	low	22
694	maybe	22
695	middle	22
696	nice	22
697	novel	22
698	offer	22
699	pictures	22
700	pure	22
701	quality	22
702	relationships	22
703	rest	22
704	robert	22
705	saw	22
706	scary	22
707	spielberg	22
708	stupid	22
709	throughout	22
710	upon	22
711	view	22
712	watchable	22
713	welcome	22
714	words	22
715	york	22
716	2	21
717	allen	21
718	america	21
719	animated	21
720	cheap	21
721	convincing	21
722	creates	21
723	effective	21
724	examination	21
725	felt	21
726	hardly	21
727	hit	21
728	house	21
729	however	21
730	impressive	21
731	issues	21
732	lacking	21
733	master	21
734	mediocre	21
735	murder	21
736	old-fashioned	21
737	others	21
738	playing	21
739	process	21
740	provides	21
741	puts	21
742	remake	21
743	result	21
744	road	21
745	sci-fi	21
746	sentimental	21
747	sharp	21
748	single	21
749	sit	21
750	someone	21
751	stand	21
752	success	21
753	supposed	21
754	taking	21
755	thanks	21
756	touch	21
757	truth	21
758	unfortunately	21
759	use	21
760	weird	21
761	witty	21
762	working	21
763	worse	21
764	across	20
765	begins	20
766	brings	20
767	career	20
768	clear	20
769	country	20
770	creepy	20
771	decent	20
772	deserves	20
773	dog	20
774	female	20
775	impact	20
776	loud	20
777	lovely	20
778	magic	20
779	pace	20
780	pacing	20
781	plain	20
782	potential	20
783	previous	20
784	problems	20
785	relationship	20
786	second	20
787	several	20
788	slight	20
789	stylish	20
790	surprise	20
791	sustain	20
792	themes	20
793	ugly	20
794	unexpected	20
795	used	20
796	word	20
797	actress	19
798	among	19
799	amount	19
800	apart	19
801	based	19
802	coming	19
803	couple	19
804	depth	19
805	doubt	19
806	dry	19
807	ensemble	19
808	episode	19
809	era	19
810	except	19
811	exciting	19
812	fully	19
813	future	19
814	generic	19
815	genuine	19
816	girls	19
817	goofy	19
818	hand	19
819	hell	19
820	hope	19
821	important	19
822	masterpiece	19
823	mildly	19
824	painful	19
825	perhaps	19
826	pieces	19
827	read	19
828	reveals	19
829	sexual	19
830	situation	19
831	subtle	19
832	succeeds	19
833	talented	19
834	terms	19
835	trouble	19
836	ultimate	19
837	uneven	19
838	unfunny	19
839	winning	19
840	writer	19
841	90	18
842	ability	18
843	add	18
844	alone	18
845	battle	18
846	cartoon	18
847	casting	18
848	chan	18
849	chemistry	18
850	clichés	18
851	company	18
852	crazy	18
853	crush	18
854	cultural	18
855	doing	18
856	evil	18
857	extreme	18
858	eye	18
859	filled	18
860	five	18
861	force	18
862	forget	18
863	gay	18
864	grace	18
865	heaven	18
866	hold	18
867	insight	18
868	jackson	18
869	kid	18
870	lots	18
871	major	18
872	manner	18
873	mean	18
874	melodramatic	18
875	money	18
876	name	18
877	ones	18
878	poignant	18
879	points	18
880	red	18
881	room	18
882	school	18
883	seriously	18
884	sets	18
885	sexy	18
886	sincere	18
887	sitting	18
888	situations	18
889	steven	18
890	successful	18
891	surprises	18
892	taken	18
893	tells	18
894	thinking	18
895	understand	18
896	urban	18
897	utterly	18
898	viewing	18
899	williams	18
900	worthy	18
901	2002	17
902	absolutely	17
903	blade	17
904	british	17
905	brown	17
906	business	17
907	called	17
908	clearly	17
909	college	17
910	colorful	17
911	considerable	17
912	contemporary	17
913	crafted	17
914	create	17
915	damned	17
916	derivative	17
917	edge	17
918	eventually	17
919	finds	17
920	form	17
921	frame	17
922	george	17
923	happy	17
924	heavy	17
925	huge	17
926	interested	17
927	intimate	17
928	inventive	17
929	leads	17
930	let	17
931	liked	17
932	mark	17
933	meditation	17
934	memory	17
935	oscar	17
936	places	17
937	please	17
938	poetry	17
939	poor	17
940	promise	17
941	provocative	17
942	question	17
943	remember	17
944	routine	17
945	said	17
946	sandler	17
947	sensitive	17
948	share	17
949	slightly	17
950	solondz	17
951	sophisticated	17
952	sound	17
953	tension	17
954	terrible	17
955	tom	17
956	treatment	17
957	twists	17
958	unique	17
959	wants	17
960	warmth	17
961	white	17
962	wish	17
963	wonder	17
964	yes	17
965	ago	16
966	allows	16
967	appears	16
968	atmosphere	16
969	attempts	16
970	bears	16
971	blue	16
972	boys	16
973	bullock	16
974	class	16
975	complete	16
976	conventional	16
977	deal	16
978	depressing	16
979	equally	16
980	essentially	16
981	extremely	16
982	festival	16
983	finish	16
984	fit	16
985	flicks	16
986	forgettable	16
987	hate	16
988	humanity	16
989	insightful	16
990	involved	16
991	involving	16
992	justice	16
993	lets	16
994	manipulative	16
995	match	16
996	means	16
997	mix	16
998	monster	16
999	painfully	16
1000	pleasant	16
1001	poorly	16
1002	popcorn	16
1003	presents	16
1004	purpose	16
1005	quickly	16
1006	quietly	16
1007	recommend	16
1008	runs	16
1009	setting	16
1010	shallow	16
1011	shots	16
1012	skin	16
1013	soderbergh	16
1014	standard	16
1015	stars	16
1016	substance	16
1017	target	16
1018	thrills	16
1019	tragic	16
1020	twist	16
1021	typical	16
1022	usually	16
1023	virtually	16
1024	waste	16
1025	wedding	16
1026	whatever	16
1027	&	15
1028	absorbing	15
1029	affair	15
1030	average	15
1031	believable	15
1032	bizarre	15
1033	bond	15
1034	break	15
1035	central	15
1036	core	15
1037	created	15
1038	cute	15
1039	delight	15
1040	directors	15
1041	drag	15
1042	dream	15
1043	effect	15
1044	empty	15
1045	endearing	15
1046	fall	15
1047	fan	15
1048	fare	15
1049	fast	15
1050	fat	15
1051	fiction	15
1052	franchise	15
1053	frequently	15
1054	friendship	15
1055	funnier	15
1056	giving	15
1057	green	15
1058	gripping	15
1059	heartfelt	15
1060	holds	15
1061	ice	15
1062	imax	15
1063	inspired	15
1064	intended	15
1065	largely	15
1066	living	15
1067	martin	15
1068	mindless	15
1069	missing	15
1070	moore	15
1071	motion	15
1072	ms.	15
1073	murphy	15
1074	needed	15
1075	number	15
1076	opportunity	15
1077	overcome	15
1078	pay	15
1079	peter	15
1080	pointless	15
1081	pop	15
1082	possibly	15
1083	queen	15
1084	questions	15
1085	results	15
1086	riveting	15
1087	sea	15
1088	simplistic	15
1089	somewhere	15
1090	sounds	15
1091	spectacle	15
1092	strangely	15
1093	telling	15
1094	today	15
1095	toward	15
1096	treat	15
1097	tribute	15
1098	trip	15
1099	triumph	15
1100	value	15
1101	wanted	15
1102	wildly	15
1103	worthwhile	15
1104	amazing	14
1105	attraction	14
1106	badly	14
1107	bore	14
1108	brain	14
1109	car	14
1110	conclusion	14
1111	course	14
1112	credit	14
1113	crimes	14
1114	deliver	14
1115	devoid	14
1116	directorial	14
1117	diverting	14
1118	emerges	14
1119	excitement	14
1120	faith	14
1121	fears	14
1122	figure	14
1123	footage	14
1124	forced	14
1125	formulaic	14
1126	general	14
1127	generally	14
1128	genuinely	14
1129	greatest	14
1130	guilty	14
1131	hoffman	14
1132	humorous	14
1133	indeed	14
1134	joke	14
1135	kevin	14
1136	killer	14
1137	king	14
1138	lame	14
1139	lee	14
1140	loses	14
1141	main	14
1142	mainstream	14
1143	members	14
1144	move	14
1145	night	14
1146	niro	14
1147	numbers	14
1148	oddly	14
1149	particular	14
1150	powers	14
1151	price	14
1152	provide	14
1153	refreshing	14
1154	release	14
1155	remarkably	14
1156	ryan	14
1157	seagal	14
1158	seat	14
1159	sequence	14
1160	shame	14
1161	slapstick	14
1162	somehow	14
1163	soul	14
1164	soundtrack	14
1165	stale	14
1166	stock	14
1167	sum	14
1168	television	14
1169	universal	14
1170	visuals	14
1171	vivid	14
1172	water	14
1173	wife	14
1174	wise	14
1175	yourself	14
1176	addition	13
1177	ages	13
1178	alive	13
1179	annoying	13
1180	balance	13
1181	blood	13
1182	body	13
1183	budget	13
1184	challenging	13
1185	cinematography	13
1186	consistently	13
1187	crowd	13
1188	decades	13
1189	deeper	13
1190	delicate	13
1191	delivery	13
1192	detail	13
1193	document	13
1194	dreams	13
1195	dreary	13
1196	editing	13
1197	eight	13
1198	exhilarating	13
1199	exploration	13
1200	extraordinary	13
1201	fantastic	13
1202	filmed	13
1203	frustrating	13
1204	further	13
1205	gangster	13
1206	glimpse	13
1207	god	13
1208	gross-out	13
1209	happens	13
1210	holes	13
1211	industry	13
1212	intense	13
1213	large	13
1214	lawrence	13
1215	lazy	13
1216	lines	13
1217	loss	13
1218	machine	13
1219	marks	13
1220	meandering	13
1221	minor	13
1222	nowhere	13
1223	offensive	13
1224	overwrought	13
1225	parker	13
1226	party	13
1227	performers	13
1228	person	13
1229	perspective	13
1230	philosophical	13
1231	politics	13
1232	realism	13
1233	reno	13
1234	represents	13
1235	score	13
1236	served	13
1237	sight	13
1238	signs	13
1239	skill	13
1240	sloppy	13
1241	space	13
1242	spiritual	13
1243	sports	13
1244	stay	13
1245	storyline	13
1246	strength	13
1247	superficial	13
1248	theme	13
1249	thought-provoking	13
1250	tiresome	13
1251	top	13
1252	twice	13
1253	unfolds	13
1254	vehicle	13
1255	vividly	13
1256	wait	13
1257	weak	13
1258	win	13
1259	x	13
1260	10	12
1261	20	12
1262	achieves	12
1263	adam	12
1264	affecting	12
1265	amateurish	12
1266	animal	12
1267	aside	12
1268	b	12
1269	b-movie	12
1270	band	12
1271	barbershop	12
1272	beat	12
1273	behavior	12
1274	bright	12
1275	brought	12
1276	bunch	12
1277	cause	12
1278	century	12
1279	chance	12
1280	charisma	12
1281	chilling	12
1282	chris	12
1283	cliché	12
1284	collection	12
1285	combination	12
1286	comedic	12
1287	complicated	12
1288	concerned	12
1289	conflict	12
1290	conviction	12
1291	davis	12
1292	desire	12
1293	details	12
1294	disaster	12
1295	disguise	12
1296	dragon	12
1297	emotion	12
1298	empathy	12
1299	energetic	12
1300	escape	12
1301	experiences	12
1302	failure	12
1303	father	12
1304	favor	12
1305	fear	12
1306	features	12
1307	focus	12
1308	funniest	12
1309	generation	12
1310	grief	12
1311	growing	12
1312	happen	12
1313	haunting	12
1314	hits	12
1315	holiday	12
1316	horrible	12
1317	hot	12
1318	identity	12
1319	imaginative	12
1320	including	12
1321	incredibly	12
1322	indie	12
1323	intentions	12
1324	intrigue	12
1325	irritating	12
1326	james	12
1327	japanese	12
1328	jones	12
1329	joy	12
1330	late	12
1331	ludicrous	12
1332	mayhem	12
1333	mention	12
1334	monty	12
1335	mother	12
1336	musical	12
1337	national	12
1338	near	12
1339	nicely	12
1340	older	12
1341	opening	12
1342	ordinary	12
1343	originality	12
1344	overly	12
1345	paid	12
1346	poetic	12
1347	polanski	12
1348	presence	12
1349	product	12
1350	protagonist	12
1351	pull	12
1352	realistic	12
1353	respect	12
1354	revolution	12
1355	sappy	12
1356	save	12
1357	screenwriter	12
1358	sentimentality	12
1359	sheer	12
1360	slice	12
1361	society	12
1362	son	12
1363	soon	12
1364	south	12
1365	stands	12
1366	step	12
1367	striking	12
1368	structure	12
1369	struggle	12
1370	stunning	12
1371	surely	12
1372	surface	12
1373	talking	12
1374	thinks	12
1375	trick	12
1376	unusual	12
1377	values	12
1378	violent	12
1379	voice	12
1380	vs.	12
1381	waiting	12
1382	wasted	12
1383	zone	12
1384	admirable	11
1385	adult	11
1386	affection	11
1387	analyze	11
1388	angst	11
1389	apparently	11
1390	artistic	11
1391	ask	11
1392	aspects	11
1393	assured	11
1394	avoid	11
1395	awkward	11
1396	barry	11
1397	basic	11
1398	beneath	11
1399	biggest	11
1400	bite	11
1401	bits	11
1402	bittersweet	11
1403	broken	11
1404	broomfield	11
1405	brothers	11
1406	burns	11
1407	buy	11
1408	carries	11
1409	chase	11
1410	child	11
1411	christmas	11
1412	cliche	11
1413	cloying	11
1414	commentary	11
1415	community	11
1416	confusing	11
1417	creating	11
1418	credits	11
1419	dazzling	11
1420	degree	11
1421	delivered	11
1422	deserve	11
1423	designed	11
1424	die	11
1425	early	11
1426	efforts	11
1427	elegant	11
1428	enjoyed	11
1429	equivalent	11
1430	excuse	11
1431	expected	11
1432	farce	11
1433	fatal	11
1434	fisher	11
1435	folks	11
1436	frank	11
1437	friday	11
1438	games	11
1439	gem	11
1440	ghost	11
1441	godard	11
1442	graphic	11
1443	greek	11
1444	ground	11
1445	group	11
1446	hackneyed	11
1447	harvard	11
1448	heartwarming	11
1449	hip-hop	11
1450	homage	11
1451	inspiring	11
1452	intensity	11
1453	jack	11
1454	jason	11
1455	kissinger	11
1456	knowing	11
1457	leaving	11
1458	length	11
1459	list	11
1460	longer	11
1461	low-key	11
1462	male	11
1463	meaning	11
1464	miss	11
1465	mistake	11
1466	mixed	11
1467	modest	11
1468	natural	11
1469	necessary	11
1470	notice	11
1471	open	11
1472	pain	11
1473	paul	11
1474	persona	11
1475	personality	11
1476	played	11
1477	playful	11
1478	plodding	11
1479	plotting	11
1480	predecessor	11
1481	produced	11
1482	promising	11
1483	prove	11
1484	public	11
1485	raw	11
1486	reign	11
1487	relatively	11
1488	report	11
1489	retread	11
1490	rises	11
1491	roger	11
1492	schneider	11
1493	season	11
1494	sequels	11
1495	showtime	11
1496	shyamalan	11
1497	sick	11
1498	sides	11
1499	smile	11
1500	snow	11
1501	source	11
1502	spend	11
1503	spent	11
1504	stage	11
1505	studio	11
1506	subjects	11
1507	superb	11
1508	supporting	11
1509	team	11
1510	third	11
1511	totally	11
1512	tough	11
1513	treasure	11
1514	turned	11
1515	twisted	11
1516	type	11
1517	unlike	11
1518	vampire	11
1519	visceral	11
1520	vulgar	11
1521	weight	11
1522	well-acted	11
1523	well-made	11
1524	wonderfully	11
1525	woo	11
1526	woody	11
1527	worked	11
1528	wry	11
1529	achievement	10
1530	actresses	10
1531	acts	10
1532	artificial	10
1533	asks	10
1534	banal	10
1535	bitter	10
1536	blend	10
1537	capable	10
1538	cautionary	10
1539	changing	10
1540	charms	10
1541	check	10
1542	cho	10
1543	choices	10
1544	clarity	10
1545	clumsy	10
1546	commercial	10
1547	common	10
1548	constructed	10
1549	content	10
1550	count	10
1551	courage	10
1552	cross	10
1553	cult	10
1554	deadly	10
1555	deftly	10
1556	determined	10
1557	devastating	10
1558	digital	10
1559	directing	10
1560	downright	10
1561	example	10
1562	fair	10
1563	families	10
1564	fashion	10
1565	feel-good	10
1566	finale	10
1567	finding	10
1568	flair	10
1569	flashy	10
1570	foreign	10
1571	forgotten	10
1572	freaks	10
1573	free	10
1574	frida	10
1575	front	10
1576	grand	10
1577	grows	10
1578	harmless	10
1579	hearts	10
1580	howard	10
1581	humour	10
1582	imagery	10
1583	impression	10
1584	increasingly	10
1585	inept	10
1586	italian	10
1587	knowledge	10
1588	lady	10
1589	land	10
1590	lesson	10
1591	levels	10
1592	limited	10
1593	lousy	10
1594	low-budget	10
1595	makers	10
1596	manage	10
1597	manhattan	10
1598	matters	10
1599	maudlin	10
1600	mesmerizing	10
1601	messages	10
1602	metaphor	10
1603	mike	10
1604	mile	10
1605	missed	10
1606	moviegoers	10
1607	moviemaking	10
1608	noir	10
1609	nostalgia	10
1610	observations	10
1611	offering	10
1612	onto	10
1613	outrageous	10
1614	paced	10
1615	pack	10
1616	parts	10
1617	pass	10
1618	pathetic	10
1619	pick	10
1620	pity	10
1621	pleasures	10
1622	potentially	10
1623	predictably	10
1624	present	10
1625	quick	10
1626	reach	10
1627	reading	10
1628	real-life	10
1629	realize	10
1630	realized	10
1631	record	10
1632	refreshingly	10
1633	relies	10
1634	reminds	10
1635	repetitive	10
1636	return	10
1637	revenge	10
1638	romp	10
1639	santa	10
1640	scorsese	10
1641	screenwriting	10
1642	secrets	10
1643	serves	10
1644	shake	10
1645	shock	10
1646	sign	10
1647	smarter	10
1648	somber	10
1649	songs	10
1650	spark	10
1651	spider-man	10
1652	spooky	10
1653	standards	10
1654	stirring	10
1655	strictly	10
1656	stunts	10
1657	superior	10
1658	suspenseful	10
1659	sympathy	10
1660	talents	10
1661	teens	10
1662	territory	10
1663	theatre	10
1664	timely	10
1665	trappings	10
1666	trifle	10
1667	undeniably	10
1668	unfaithful	10
1669	uninspired	10
1670	unlikely	10
1671	using	10
1672	various	10
1673	vibrant	10
1674	wars	10
1675	washington	10
1676	wears	10
1677	went	10
1678	whom	10
1679	writer\/director	10
1680	yarn	10
1681	9	9
1682	accomplished	9
1683	adds	9
1684	admire	9
1685	admit	9
1686	adolescent	9
1687	afraid	9
1688	alabama	9
1689	answers	9
1690	apparent	9
1691	appreciate	9
1692	austin	9
1693	authentic	9
1694	bag	9
1695	becoming	9
1696	beginning	9
1697	belongs	9
1698	below	9
1699	benigni	9
1700	birthday	9
1701	blair	9
1702	bother	9
1703	bottom	9
1704	caper	9
1705	captivating	9
1706	catch	9
1707	cheesy	9
1708	chinese	9
1709	choppy	9
1710	cletis	9
1711	color	9
1712	compassion	9
1713	consider	9
1714	constantly	9
1715	continues	9
1716	cruel	9
1717	curiosity	9
1718	cynical	9
1719	damage	9
1720	dance	9
1721	deft	9
1722	delightfully	9
1723	demands	9
1724	depiction	9
1725	despair	9
1726	desperate	9
1727	desperately	9
1728	desperation	9
1729	detailed	9
1730	development	9
1731	difference	9
1732	dirty	9
1733	disappointing	9
1734	distance	9
1735	disturbing	9
1736	dramatically	9
1737	earth	9
1738	endless	9
1739	event	9
1740	faithful	9
1741	fierce	9
1742	fight	9
1743	fill	9
1744	first-time	9
1745	fluff	9
1746	follows	9
1747	food	9
1748	giant	9
1749	glass	9
1750	gradually	9
1751	gritty	9
1752	grow	9
1753	guess	9
1754	guns	9
1755	halfway	9
1756	handsome	9
1757	happened	9
1758	heard	9
1759	heavy-handed	9
1760	hey	9
1761	holocaust	9
1762	honestly	9
1763	hopeful	9
1764	importance	9
1765	indian	9
1766	inspiration	9
1767	intellectual	9
1768	intoxicating	9
1769	iranian	9
1770	joyous	9
1771	justify	9
1772	kaufman	9
1773	key	9
1774	killed	9
1775	kiss	9
1776	laughter	9
1777	lies	9
1778	listless	9
1779	lived	9
1780	logic	9
1781	loved	9
1782	madonna	9
1783	mainly	9
1784	mere	9
1785	mild	9
1786	miller	9
1787	mixture	9
1788	moves	9
1789	nasty	9
1790	nevertheless	9
1791	news	9
1792	nicholas	9
1793	nicholson	9
1794	no.	9
1795	obnoxious	9
1796	obviously	9
1797	offbeat	9
1798	office	9
1799	onscreen	9
1800	outside	9
1801	over-the-top	9
1802	parable	9
1803	park	9
1804	parody	9
1805	pianist	9
1806	preachy	9
1807	precious	9
1808	proceedings	9
1809	profound	9
1810	promises	9
1811	pulls	9
1812	quest	9
1813	reasonably	9
1814	rendered	9
1815	resonant	9
1816	revealing	9
1817	rewarding	9
1818	rhythms	9
1819	ridiculous	9
1820	ring	9
1821	roll	9
